Date,Product Category,Units Sold,Revenue,Region,Customer Age,Customer Gender,Timestamp
2023-04-13,Clothing,46,18303.922529641695,West,29.0,Male,2023-04-13 11:08:26
2023-12-15,Books,98,9875.14331587302,South,58.0,Male,2023-12-15 05:19:24
2023-09-28,Sports,86,35219.354826275514,East,55.0,Female,2023-09-28 04:27:44
2023-04-17,Books,29,9022.458983682249,East,29.0,Female,2023-04-17 17:55:32
2023-03-13,Electronics,60,3482.1196176976505,South,67.0,Female,2023-03-13 11:25:03
2023-07-08,Books,54,24230.15543475218,South,42.0,Male,2023-07-08 01:37:49
2023-01-21,Sports,93,27267.50939689549,North,54.0,Male,2023-01-21 18:26:05
2023-04-13,Electronics,69,22877.754283815844,North,48.0,Male,2023-04-13 18:56:50
2023-05-02,Home & Kitchen,74,11020.07389272738,East,34.0,Male,2023-05-02 19:10:00
2023-08-03,Electronics,74,32345.503372240964,South,65.0,Male,2023-08-03 14:25:58
2023-11-27,Clothing,9,2494.335242027215,North,29.0,Female,2023-11-27 14:40:01
2023-03-29,Electronics,85,18389.659840741122,North,47.0,Male,2023-03-29 04:04:57
2023-04-10,Home & Kitchen,77,20928.45024746442,West,19.0,,2023-04-10 00:56:34
2023-12-26,Books,10,3546.2340991921055,East,33.0,Male,2023-12-26 02:38:06
2023-06-01,Electronics,75,26293.009431948176,East,18.0,Male,2023-06-01 08:27:55
2023-05-11,Electronics,68,12594.469003914319,East,69.0,Male,2023-05-11 06:58:26
2023-05-30,Electronics,58,11529.040320619924,South,51.0,Male,2023-05-30 02:25:17
2023-11-05,Electronics,95,27122.18787662878,West,62.0,Female,2023-11-05 21:24:26
2023-09-15,Home & Kitchen,52,24073.893435868853,North,65.0,Female,2023-09-15 23:20:30
2023-12-10,Sports,34,12758.86824765315,West,18.0,Female,2023-12-10 06:28:58
2023-10-21,Sports,35,7045.616999019297,North,68.0,Female,2023-10-21 18:57:46
2023-07-11,Electronics,33,,North,53.0,Female,2023-07-11 07:17:20
2023-10-04,Home & Kitchen,72,19193.901863564457,West,69.0,Female,2023-10-04 12:30:50
2023-06-10,Home & Kitchen,32,13961.464664580844,East,20.0,Male,2023-06-10 10:33:39
2023-11-10,Electronics,55,783.9055610088362,South,51.0,Male,2023-11-10 11:36:52
2023-01-22,Clothing,97,34739.40282580298,West,29.0,Female,2023-01-22 19:51:47
2023-09-10,Electronics,8,1234.4880413160463,East,62.0,Female,2023-09-10 17:05:13
2023-08-24,Clothing,46,5157.279204072469,East,44.0,Male,2023-08-24 23:45:56
2023-12-11,Electronics,14,223.26665816296583,South,67.0,Male,2023-12-11 18:19:14
2023-02-18,Clothing,98,44034.2816024354,South,54.0,Female,2023-02-18 00:06:48
2023-02-28,Clothing,8,3656.0140024252473,East,42.0,Female,2023-02-28 16:45:38
2023-06-19,Electronics,71,2846.712794788502,South,29.0,Female,2023-06-19 13:08:01
2023-07-07,Clothing,77,20458.092138727832,East,68.0,Male,2023-07-07 06:41:16
2023-09-28,Books,54,4577.120176503717,North,50.0,Female,2023-09-28 01:47:14
2023-07-09,Sports,21,8016.8949373307405,South,26.0,Female,2023-07-09 21:18:46
2023-06-24,Home & Kitchen,96,32260.01483187955,North,18.0,Female,2023-06-24 07:26:09
2023-02-20,Clothing,75,,South,67.0,Female,2023-02-20 16:30:31
2023-12-30,Clothing,14,942.3475279369063,East,40.0,Male,2023-12-30 21:30:21
2023-02-24,Home & Kitchen,75,31297.359358171532,East,45.0,Female,2023-02-24 14:01:59
2023-09-01,Clothing,2,680.7674296991539,East,20.0,Male,2023-09-01 14:27:12
2023-11-16,Home & Kitchen,98,1307.4937590225848,East,55.0,Male,2023-11-16 07:12:32
2023-05-11,Electronics,61,19377.087532180187,East,53.0,Female,2023-05-11 05:58:35
2023-11-03,Books,17,,East,61.0,Female,2023-11-03 07:47:19
2023-05-15,Books,78,,South,61.0,Male,2023-05-15 14:12:26
2023-01-21,Sports,89,19411.763439871746,South,22.0,Male,2023-01-21 22:12:29
2023-11-25,Clothing,48,14213.76026331525,North,46.0,Male,2023-11-25 04:54:41
2023-06-16,Sports,91,28542.960610364218,West,30.0,Male,2023-06-16 15:42:35
2023-10-01,Electronics,8,2588.9357258531527,South,61.0,Male,2023-10-01 00:18:47
2023-03-30,Books,56,27095.716279135737,South,21.0,Female,2023-03-30 23:46:08
2023-11-12,Electronics,17,1658.1360703611247,West,23.0,Female,2023-11-12 06:44:36
2023-01-14,Electronics,69,21756.77863448315,West,68.0,Female,2023-01-14 16:36:25
2023-08-30,Clothing,12,1225.4007194225446,North,55.0,Male,2023-08-30 14:31:00
2023-09-22,Electronics,38,4289.3941310366,North,23.0,Male,2023-09-22 17:08:44
2023-12-12,Books,18,6082.8545342989755,East,28.0,Male,2023-12-12 16:24:13
2023-02-22,Sports,26,11929.25504254306,North,44.0,,2023-02-22 06:47:21
2023-12-06,Books,95,8353.509702469695,North,63.0,Female,2023-12-06 16:21:37
2023-04-02,Clothing,37,,West,52.0,Female,2023-04-02 23:17:51
2023-09-21,Books,70,11654.470782356655,South,57.0,Male,2023-09-21 23:19:01
2023-02-04,Home & Kitchen,41,,East,,Male,2023-02-04 22:17:16
2023-07-25,Sports,79,6738.984694672401,North,44.0,Female,2023-07-25 18:38:11
2023-03-22,Home & Kitchen,42,13093.907058426965,West,33.0,Female,2023-03-22 14:50:10
2023-02-19,Home & Kitchen,90,27202.143812916955,East,35.0,Female,2023-02-19 14:26:34
2023-12-26,Clothing,76,17230.12523314266,East,24.0,Male,2023-12-26 23:24:01
2023-01-02,Electronics,41,9974.676022776306,West,28.0,Female,2023-01-02 15:19:48
2023-02-23,Home & Kitchen,47,14817.134419372094,North,25.0,Male,2023-02-23 01:53:21
2023-04-16,Books,14,,North,69.0,Female,2023-04-16 21:48:10
2023-09-17,Electronics,1,193.38905700772165,North,23.0,Female,2023-09-17 07:22:03
2023-11-06,Books,17,7534.67282954789,North,65.0,Female,2023-11-06 04:17:36
2023-07-10,Books,97,32703.904664243233,East,22.0,Male,2023-07-10 15:30:00
2023-08-06,Electronics,55,6085.700609664845,South,23.0,Male,2023-08-06 08:56:12
2023-02-13,Electronics,93,15507.979414055995,East,55.0,,2023-02-13 10:06:38
2023-06-11,Books,53,,East,19.0,Male,2023-06-11 17:44:22
2023-07-21,Clothing,31,,West,48.0,Female,2023-07-21 12:56:50
2023-09-27,Sports,62,23412.04812124414,East,56.0,Male,2023-09-27 08:29:22
2023-12-17,Sports,8,1486.6623692915177,North,49.0,Female,2023-12-17 20:46:36
2023-10-31,Clothing,30,8409.858377794002,West,26.0,Male,2023-10-31 03:43:34
2023-09-28,Electronics,77,11355.457760931238,West,32.0,Male,2023-09-28 04:03:07
2023-08-03,Books,80,39469.09761536077,West,38.0,,2023-08-03 22:37:44
2023-09-09,Sports,66,29954.87504788212,West,63.0,Female,2023-09-09 03:55:55
2023-07-09,Books,45,20922.31890462075,West,45.0,Male,2023-07-09 21:30:30
2023-10-23,Clothing,18,1809.7200685616972,North,62.0,Female,2023-10-23 20:48:28
2023-08-01,Books,99,41820.38655510523,South,44.0,Female,2023-08-01 10:05:21
2023-07-27,Clothing,45,12255.50607758119,South,22.0,Female,2023-07-27 15:04:47
2023-08-25,Electronics,19,6780.169154547577,West,34.0,Female,2023-08-25 18:31:49
2023-12-04,Clothing,77,8976.428438117044,South,54.0,Male,2023-12-04 14:18:47
2023-02-22,Clothing,68,24403.328404027474,East,41.0,Female,2023-02-22 03:01:35
